class,concept,weight
apple pie,tender interior,0.5
apple pie,thick throughout,0.5
apple pie,uniform brown color,0.5
apple pie,baked until crisp,0.9
apple pie,sliced thickly,0.7
apple pie,sheen,0.5
apple pie,nice bite,0.6
apple pie,darker brown center,0.8
apple pie,rolled up and sealed,0.7
apple pie,signature sweetness,0.9
apple pie,thick and gooey,0.8
apple pie,look slightly messy,0.6
apple pie,golden reddish brown,1.0
apple pie,easily overcooked,0.5
apple pie,cut into wedges,0.8
apple pie,round and thick,0.7
apple pie,round cross-section,0.6
apple pie,toasty color,0.8
apple pie,like a little hill,0.5
apple pie,grainy texture,0.6
apple pie,assembled,0.5
apple pie,color is natural,0.5
apple pie,unadorned,0.5
apple pie,"dark, rich brown",0.5
apple pie,generally round,1.0
apple pie,surface is bumpy,0.5
apple pie,light brown exterior,1.0
apple pie,beautiful golden hue,1.0
apple pie,"deep, juicy red",0.5
apple pie,firm center,0.5
apple pie,"dark, sienna brown",0.5
apple pie,flavors,0.5
apple pie,"raised, fluted edge",0.8
apple pie,braided and crimped,0.7
apple pie,light brown bottom,0.5
apple pie,golden in color,0.9
apple pie,very pretty in color,0.5
apple pie,studded with butter,0.5
apple pie,dense crumb,0.8
apple pie,slight thickness,0.6
apple pie,flat top and bottom,0.5
apple pie,thick and sticky,0.5
apple pie,"round, like a cake",0.7
apple pie,texture is perfect,0.6
apple pie,circular border,0.5
apple pie,not overcooked,0.5
apple pie,"dark, reddish brown",0.6
apple pie,meld together nicely,0.5
apple pie,symmetrical shape,0.6
apple pie,buttered,0.5
apple pie,intense and inviting,0.5
apple pie,baked in a big pan,0.7
apple pie,symmetrical,0.6
apple pie,hot,0.5
apple pie,light brown edge,0.7
apple pie,very symmetrical,0.6
apple pie,"dark, brown color",0.7
apple pie,raised rim,0.5
apple pie,scalloped edge,0.5
apple pie,baked as well,0.6
apple pie,moist interior,0.9
apple pie,variety of textures,0.6
apple pie,frosting,0.5
apple pie,symbol of america,0.7
apple pie,shiny,0.5
apple pie,more brown in color,0.8
apple pie,thick and golden,0.7
apple pie,served melted,0.6
apple pie,toasted or baked,0.7
apple pie,round or oval-shaped,0.5
apple pie,deep golden hue,0.8
apple pie,not too mushy,0.6
apple pie,sliced thinly,0.5
apple pie,gooey and melty,0.7
apple pie,vibrant brown color,0.8
apple pie,shaped like circles,0.5
apple pie,"bright, sunny brown",0.5
apple pie,"ridged, crimped edge",0.7
apple pie,soft top,0.5
apple pie,dark brown edge,0.6
apple pie,soft in the middle,0.5
apple pie,rich tone,0.6
apple pie,crisp shell,0.5
apple pie,also slightly sweet,0.6
apple pie,"pure, golden color",0.5
apple pie,color is deep golden,0.5
apple pie,round on the top,0.8
apple pie,sheen to them,0.5
apple pie,baked ahead of time,0.6
apple pie,edges are crispy,0.8
apple pie,reddish brown color,0.6
apple pie,rounded,0.5
apple pie,outside is crispy,0.8
apple pie,perfect circle,0.5
apple pie,crisp edges,0.9
apple pie,repeating pattern,0.5
apple pie,glazed,0.7
apple pie,hint of vanilla bean,0.6
apple pie,bit brown in color,0.8
apple pie,ruffled edges,0.8
apple pie,sides are sloped,0.7
apple pie,baked in a large pan,0.5
apple pie,well-defined border,0.6
apple pie,thick and raised,0.6
apple pie,raised surface,0.5
apple pie,brownish-gold,0.9
apple pie,golden-brown filling,0.5
apple pie,rich golden color,0.5
baby back ribs,fat side up,0.7
baby back ribs,skin-on,0.5
baby back ribs,fiery red color,0.6
baby back ribs,looks appetizing,0.8
baby back ribs,little fat,0.7
baby back ribs,thick and chewy,0.5
baby back ribs,bit greasy,0.6
baby back ribs,greasy and unhealthy,0.7
baby back ribs,have a crispy shell,0.5
baby back ribs,dark amber color,0.8
baby back ribs,oily,0.7
baby back ribs,baked in the oven,0.9
baby back ribs,peppered with spices,0.6
baby back ribs,look so appetizing,0.5
baby back ribs,deep golden color,0.7
baby back ribs,reddish tint to them,0.7
baby back ribs,gravy is thick,0.6
baby back ribs,dried and cooked,0.7
baby back ribs,chopped or whole,0.7
baby back ribs,brown and white,0.5
baby back ribs,"moist, oily texture",0.8
baby back ribs,beautiful sheen,0.6
baby back ribs,"crispy, golden-brow",0.7
baby back ribs,darker exterior,0.7
baby back ribs,10-12 ribs in a rack,0.9
baby back ribs,long,0.8
baby back ribs,"neat, even rows",0.6
baby back ribs,rich and smooth,0.5
baby back ribs,"fiery, red color",0.5
baby back ribs,slight smokey flavor,0.8
baby back ribs,brown side,0.7
baby back ribs,stunning red color,0.6
baby back ribs,tapered ends,0.5
baby back ribs,"bright, red color",0.6
baby back ribs,mildly fatty,0.7
baby back ribs,11 pairs,0.9
baby back ribs,slight marbled look,0.5
baby back ribs,chewy bite,0.5
baby back ribs,"thick, hearty sauce",0.9
baby back ribs,a lot of sauce on it,0.9
baby back ribs,crispy outside,0.7
baby back ribs,meat is a dark brown,0.9
baby back ribs,brownish red,0.8
baby back ribs,color will be brown,0.7
baby back ribs,glossy surface,0.5
baby back ribs,golden and brown,0.7
baby back ribs,"deep, reddish brown",0.6
baby back ribs,cartilage,0.8
baby back ribs,"rich, dark brown",0.7
baby back ribs,bubbling,0.5
baby back ribs,reddish brown,0.6
baby back ribs,color of a new penny,0.5
baby back ribs,slightly roasted,0.6
baby back ribs,looks crispy,0.5
baby back ribs,color is a red,0.5
baby back ribs,rich golden brown,0.6
baby back ribs,"big, greasy mess",0.5
baby back ribs,topped with jalapeo,0.5
baby back ribs,"baked, fried, saueed",0.6
baby back ribs,pinkish-brown,0.6
baby back ribs,about 10 inches long,0.5
baby back ribs,copper brown,0.7
baby back ribs,"large, juicy food",1.0
baby back ribs,aromatic,0.8
baby back ribs,golden brown bottom,0.7
baby back ribs,gooey brown color,0.6
baby back ribs,darker brown,0.5
baby back ribs,fried golden brown,0.7
baby back ribs,consumed whole,0.5
baby back ribs,stunning centerpiece,0.5
baby back ribs,slight curve from it,0.6
baby back ribs,greasy texture,0.5
baby back ribs,so satisfying,0.5
baby back ribs,bit fatty,0.6
baby back ribs,served piping hot,0.6
baby back ribs,brown in color,0.5
baby back ribs,melted together,0.6
baby back ribs,vibrant red,0.8
baby back ribs,look very appetizing,0.9
baby back ribs,perfect medium-rare,0.6
baby back ribs,"soft, chewy inside",0.7
baby back ribs,baked or broiled,0.8
baby back ribs,bit tan in color,0.5
baby back ribs,color is toasted,0.6
baby back ribs,evenly cooked,0.7
baby back ribs,red center,0.5
baby back ribs,golden and delicious,0.8
baby back ribs,please all palates,0.6
baby back ribs,not be overcooked,0.7
baby back ribs,color will be darker,0.6
baby back ribs,coffee brown,0.5
baby back ribs,firm and meaty,0.8
baby back ribs,slight firmness,0.6
baby back ribs,light shade of pink,0.5
baby back ribs,rounded edges,0.5
baby back ribs,ridged bottoms,0.5
baby back ribs,overall tender,0.8
baby back ribs,a little overcooked,0.5
baby back ribs,slight brown tint,0.5
baby back ribs,crunch texture,0.6
baby back ribs,finger food,0.5
baby back ribs,"pan-searing, grill",0.5
baby back ribs,rich red,0.5
baby back ribs,marinating,0.5
baby back ribs,visually appealing,0.6
baby back ribs,bit red in color,0.7
baby back ribs,crispy and chewy,0.8
baby back ribs,look appetizing,0.9
baby back ribs,slightly chewy skin,0.7
baby back ribs,beautiful red color,0.7
baby back ribs,brown or grey,0.5
baby back ribs,red side,0.7
baby back ribs,uniform golden color,0.5
baby back ribs,hint of darkness,0.6
baby back ribs,lean protein,0.8
baby back ribs,dark and rich,0.7
baby back ribs,thin white membrane,0.8
baby back ribs,neat pile,0.5
baby back ribs,about 8 inches long,0.9
baby back ribs,"juicy, red center",0.7
baby back ribs,texture,0.6
baby back ribs,finger-length,0.6
baby back ribs,long and slender,0.8
baby back ribs,dark color,0.7
baby back ribs,so they are greasy,0.6
baby back ribs,rib primal,1.0
baby back ribs,hearty,0.5
baby back ribs,tender interior,0.5
baby back ribs,thick and sturdy,0.6
baby back ribs,thick throughout,0.6
baby back ribs,uniform brown color,0.5
baby back ribs,baked until crisp,0.8
baby back ribs,sliced thickly,0.6
baby back ribs,sheen,0.7
baby back ribs,darker brown center,0.5
baby back ribs,thick and gooey,0.5
baby back ribs,look slightly messy,0.6
baby back ribs,deep red exterior,0.7
baby back ribs,golden reddish brown,0.8
baby back ribs,toasty color,0.7
baby back ribs,brilliant red,0.6
baby back ribs,"thin, crispy skin",0.5
baby back ribs,reddish tint,0.5
baby back ribs,rib section,1.0
baby back ribs,"stunning, deep red",0.6
baby back ribs,about 12 inches long,0.8
baby back ribs,"dark, rich brown",0.9
baby back ribs,flavorful and,0.5
baby back ribs,surface is bumpy,0.6
baby back ribs,light brown exterior,0.5
baby back ribs,"dark, sienna brown",0.9
baby back ribs,grease,0.8
baby back ribs,very lean and tender,0.7
baby back ribs,"rich, indulgent",0.5
baby back ribs,zesty red,0.5
baby back ribs,color is auburn,0.6
baby back ribs,caramel brown color,0.7
baby back ribs,pinkish red,0.6
baby back ribs,passionate color,0.5
baby back ribs,have a glossy sheen,0.7
baby back ribs,thick and sticky,0.5
baby back ribs,bone in the center,1.0
baby back ribs,fat is well-marbled,0.5
baby back ribs,"dark, reddish brown",0.5
baby back ribs,curved and twisted,0.8
baby back ribs,intense and inviting,0.5
baby back ribs,sauce,0.9
baby back ribs,hot,0.6
baby back ribs,grill marks,0.9
baby back ribs,shiny surface,0.6
baby back ribs,neat row,0.7
baby back ribs,stacked in a pile,0.5
baby back ribs,"dark, brown color",0.8
baby back ribs,dish,0.9
baby back ribs,very hearty,0.6
baby back ribs,fatty,0.7
baby back ribs,rich red color,0.8
baby back ribs,reddish tint to it,0.6
baby back ribs,chewy and moist,0.5
baby back ribs,fiery red,0.7
baby back ribs,moist interior,0.8
baby back ribs,variety of textures,0.7
baby back ribs,few small bumps,0.6
baby back ribs,slight chewiness,0.8
baby back ribs,shiny,0.5
baby back ribs,more brown in color,0.9
baby back ribs,"brown, sticky mess",1.0
baby back ribs,deep golden hue,0.5
baby back ribs,not too mushy,0.6
baby back ribs,gooey and melty,0.6
baby back ribs,messy affair,1.0
baby back ribs,vibrant brown color,0.8
baby back ribs,thin line of sauce,0.8
baby back ribs,irregular,0.6
baby back ribs,bone-in cut,1.0
baby back ribs,"bright, sunny brown",0.7
baby back ribs,color is deep amber,0.5
baby back ribs,dark brown edge,0.7
baby back ribs,stained a dark brown,0.7
baby back ribs,served whole,0.9
baby back ribs,top is caramelized,0.7
baby back ribs,looks nice and thick,0.5
baby back ribs,food is curved,0.8
baby back ribs,rich tone,0.6
baby back ribs,"round, blunt end",0.7
baby back ribs,darker food,0.7
baby back ribs,oblong shape,0.6
baby back ribs,color is deep golden,0.5
baby back ribs,"intense, fiery color",0.5
baby back ribs,moderately thick,0.5
baby back ribs,brown or black,0.6
baby back ribs,blunt ends,0.6
baby back ribs,dark brown top,0.5
baby back ribs,pinkish center,0.6
baby back ribs,sheen to them,0.7
baby back ribs,hint of amber,0.5
baby back ribs,edges are crispy,0.5
baby back ribs,syrupy texture,0.7
baby back ribs,slightly smoky,0.8
baby back ribs,reddish brown color,0.8
baby back ribs,fairly lean,0.5
baby back ribs,cooks evenly,0.6
baby back ribs,outside is crispy,0.6
baby back ribs,crisp edges,0.7
baby back ribs,saltiness,0.5
baby back ribs,glazed,0.9
baby back ribs,red,0.7
baby back ribs,baked in a sauce,0.9
baby back ribs,bit brown in color,0.7
baby back ribs,baked in a large pan,0.8
baby back ribs,"intense, dark red",0.8
baby back ribs,well-defined border,0.5
baby back ribs,pink or red in color,0.7
baby back ribs,thick and raised,0.6
baby back ribs,brownish-gold,0.7
baby back ribs,"deep, rich brown",0.8
baby back ribs,slightly rounded,0.6
baby back ribs,typically dark brown,0.7
baby back ribs,humerus and ulna,0.9
baby back ribs,surface is smooth,0.5
baby back ribs,curved,0.8
baby back ribs,taper at the ends,0.6
baby back ribs,marinated in a,0.5
baby back ribs,dark reddish color,0.7
baby back ribs,charred outside,0.6
baklava,a lot of toppings,0.5
baklava,rectangle,0.9
baklava,flat top,0.5
baklava,golden hue,0.9
baklava,regal golden color,0.7
baklava,white or yellow,0.5
baklava,have a crispy shell,0.8
baklava,dark amber color,0.7
baklava,oily,0.6
baklava,baked in the oven,0.8
baklava,sugar,0.6
baklava,"clear, golden color",0.6
baklava,deep golden color,0.8
baklava,dried and cooked,0.5
baklava,"moist, oily texture",0.8
baklava,beautiful sheen,0.7
baklava,"crispy, golden-brow",0.9
baklava,color is beige,0.7
baklava,slightly toasted,0.6
baklava,use pan,0.5
baklava,rich and smooth,0.6
baklava,soft inside,0.7
baklava,dough folded,0.6
baklava,fluffy interior,0.6
baklava,traditionally topped,0.5
baklava,sweeter filling,0.7
baklava,rectangular cake,1.0
baklava,brown side,0.8
baklava,"long, thin shape",0.5
baklava,hint of gold,0.9
baklava,magnificent color,0.5
baklava,crisp outside,0.9
baklava,neat row on plate,0.6
baklava,perfect square,0.5
baklava,lovely golden hue,1.0
baklava,beautiful,0.5
baklava,crisp outer layer,1.0
baklava,creamy interior,0.5
baklava,light and airy touch,0.7
baklava,rich and light,0.6
baklava,tan color,0.8
baklava,airy texture,0.7
baklava,crispy outside,0.9
baklava,"soft, fluffy inside",0.6
baklava,have a slight sheen,0.7
baklava,chopped or shredded,0.5
baklava,oozing with syrup,1.0
baklava,shredded or diced,0.5
baklava,color will be brown,0.5
baklava,glossy surface,0.7
baklava,golden and brown,0.8
baklava,gooey interior,0.7
baklava,"deep, reddish brown",0.8
baklava,"rich, dark brown",0.7
baklava,shaped like squares,0.9
baklava,gooey and bubbly,0.7
baklava,reddish brown,0.8
baklava,flat on top,0.6
baklava,color of a new penny,0.8
baklava,cross-section,0.5
baklava,light brown interior,0.7
baklava,looks crispy,0.6
baklava,rich golden brown,0.9
baklava,basic rectangle,0.8
baklava,gooey and melted,0.8
baklava,golden brown bottom,0.5
baklava,pistachio and lemon,0.5
baklava,layered dish,1.0
baklava,rectangular pastry,0.8
baklava,nice crust,0.5
baklava,equally spaced,0.6
baklava,thin and flakey,0.9
baklava,top and a bottom,0.5
baklava,uniform in thickness,0.7
baklava,four corners,0.6
baklava,"warm, golden color",0.7
baklava,surface is not bumpy,0.5
baklava,all the same shape,0.5
baklava,melted together,0.8
baklava,look very appetizing,0.7
baklava,pist,0.9
baklava,"soft, chewy inside",0.6
baklava,baked or broiled,0.7
baklava,mild,0.5
baklava,bit tan in color,0.5
baklava,color is toasted,0.6
baklava,evenly cooked,0.5
baklava,beige color,0.6
baklava,yet filling,0.5
baklava,round,0.6
baklava,golden and delicious,0.8
baklava,please all palates,0.6
baklava,deep sides,0.7
baklava,color will be darker,0.6
baklava,coffee brown,0.5
baklava,"unique, nutty flavor",0.8
baklava,golden orange,0.6
baklava,"lovely, sunny hue",0.6
baklava,rich hue,0.5
baklava,topping,0.5
baklava,crunch texture,0.7
baklava,flaky,1.0
baklava,inviting,0.5
baklava,finger food,0.8
baklava,suit anyone's taste,0.6
baklava,toasted and buttery,0.7
baklava,cracked and bubbled,0.5
baklava,visually appealing,0.8
baklava,crispy and chewy,0.7
baklava,look appetizing,0.8
baklava,triangular,0.5
baklava,sliced into wedges,0.5
baklava,uniform in shape,0.6
baklava,uniform golden color,0.8
baklava,perfectly aligned,0.5
baklava,delicate crumb,0.5
baklava,moist and fugy,0.5
baklava,dark and rich,0.6
baklava,pretty dish,0.5
baklava,texture,0.7
baklava,uniform brown color,0.6
baklava,yellow or brown,0.6
baklava,baked until crisp,0.8
baklava,sheen,0.7
baklava,nice bite,0.5
baklava,darker brown center,0.6
baklava,signature sweetness,0.9
baklava,thick and gooey,0.7
baklava,golden reddish brown,0.8
baklava,cut into wedges,0.5
baklava,toasty color,0.7
baklava,"thin, crispy skin",0.8
baklava,grainy texture,0.5
baklava,rhombus,1.0
baklava,assembled,1.0
baklava,color is natural,0.5
baklava,surface is bumpy,0.5
baklava,light brown exterior,1.0
baklava,beautiful golden hue,1.0
baklava,sharp corners,1.0
baklava,stack of golden food,0.6
baklava,light brown bottom,0.5
baklava,golden in color,0.8
baklava,"rich, indulgent",0.7
baklava,golden colored toast,0.5
baklava,have a glossy sheen,0.7
baklava,dense crumb,0.7
baklava,drizzle on top,0.5
baklava,slight thickness,0.7
baklava,flat top and bottom,0.6
baklava,chewy center,0.6
baklava,glossy sheen,0.8
baklava,diagonal,0.5
baklava,mildly nutty flavor,0.7
baklava,staggered fashion,0.6
baklava,thick and sticky,0.5
baklava,shredded or chopped,0.5
baklava,"dark, reddish brown",0.5
baklava,meld together nicely,0.5
baklava,symmetrical shape,0.8
baklava,a rectangle,0.9
baklava,looks perfect,0.5
baklava,buttered,0.7
baklava,intense and inviting,0.6
baklava,baked in a big pan,0.8
baklava,solid,0.7
baklava,soaked,0.8
baklava,symmetrical,0.9
baklava,light brown edge,0.7
baklava,very symmetrical,1.0
baklava,shiny surface,0.6
baklava,neat row,0.7
baklava,chewy interior,0.5
baklava,stacked in a pile,0.7
baklava,wrapped up tightly,0.7
baklava,"dark, brown color",0.6
baklava,dish,0.5
baklava,baked as well,0.6
baklava,cake is layered,0.8
baklava,moist interior,0.7
baklava,variety of textures,0.6
baklava,slight chewiness,0.5
baklava,shiny,0.6
baklava,more brown in color,0.5
baklava,thick and golden,0.6
baklava,"brown, sticky mess",0.7
baklava,toasted or baked,0.7
baklava,triangles,0.7
baklava,deep golden hue,0.6
baklava,vibrant brown color,0.5
baklava,rich tone,0.5
baklava,crisp shell,1.0
baklava,also slightly sweet,1.0
baklava,"pure, golden color",1.0
baklava,still light and airy,0.5
baklava,different shapes,0.5
baklava,oblong shape,0.5
baklava,color is deep golden,1.0
baklava,moderately thick,0.5
baklava,can also be oval,0.5
baklava,crispy bottom,1.0
baklava,dark brown top,0.5
baklava,a half-inch thick,0.5
baklava,layered in dish,1.0
baklava,regular rectangle,1.0
baklava,sheen to them,0.6
baklava,hint of amber,0.5
baklava,"long, thin square",0.5
baklava,edges are crispy,0.7
baklava,edges are straight,0.5
baklava,syrupy texture,1.0
baklava,drizzled with syrup,0.7
baklava,outside is crispy,0.6
baklava,crisp edges,0.8
baklava,repeating pattern,0.9
baklava,glazed,0.8
baklava,bit brown in color,0.7
baklava,baked in a large pan,0.7
baklava,well-defined border,0.8
baklava,raised surface,0.8
baklava,brownish-gold,0.9
baklava,golden-brown filling,0.5
baklava,rich golden color,0.5
beef carpaccio,fiery red color,1.0
beef carpaccio,looks appetizing,0.5
beef carpaccio,sirloin end,0.8
beef carpaccio,peppered with spices,0.7
beef carpaccio,chopped or whole,0.6
beef carpaccio,"moist, oily texture",0.8
beef carpaccio,once chilled,0.5
beef carpaccio,beautiful sheen,0.7
beef carpaccio,usually round,0.7
beef carpaccio,pink,1.0
beef carpaccio,rich and smooth,0.7
beef carpaccio,stunning red color,1.0
beef carpaccio,"long, thin shape",0.8
beef carpaccio,"bright, red color",1.0
beef carpaccio,magnificent color,0.9
beef carpaccio,"long, thin filet",0.9
beef carpaccio,neat row on plate,0.5
beef carpaccio,slight marbled look,0.9
beef carpaccio,beautiful,0.8
beef carpaccio,"exquisite, rich red",1.0
beef carpaccio,red or orange color,0.6
beef carpaccio,have a slight sheen,0.6
beef carpaccio,brownish red,0.5
beef carpaccio,ruby color,0.7
beef carpaccio,"deep, reddish brown",1.0
beef carpaccio,reddish brown,1.0
beef carpaccio,color of a new penny,0.8
beef carpaccio,vibrant green color,0.6
beef carpaccio,cross-section,0.5
beef carpaccio,color is a red,1.0
beef carpaccio,"juicy, pink center",1.0
beef carpaccio,red wine vinegar,0.5
beef carpaccio,pinkish-brown,0.8
beef carpaccio,simple elegance,0.6
beef carpaccio,not be cooked,1.0
beef carpaccio,round or oval,0.5
beef carpaccio,layered dish,0.7
beef carpaccio,basil or thyme,0.5
beef carpaccio,stunning centerpiece,0.6
beef carpaccio,color was perfect,0.5
beef carpaccio,equally spaced,0.5
beef carpaccio,thin and flakey,0.6
beef carpaccio,slice of white onion,0.6
beef carpaccio,bright red,0.8
beef carpaccio,various toppings,0.6
beef carpaccio,uniform in thickness,0.7
beef carpaccio,elegant,0.5
beef carpaccio,surface is not bumpy,0.7
beef carpaccio,all the same shape,0.6
beef carpaccio,vibrant red,0.9
beef carpaccio,look very appetizing,0.7
beef carpaccio,dressing,0.8
beef carpaccio,visible through it,0.6
beef carpaccio,bright acidity,0.5
beef carpaccio,"soft, chewy inside",0.6
beef carpaccio,has a few red leaves,0.5
beef carpaccio,red center,0.8
beef carpaccio,adds to color,0.6
beef carpaccio,"light, pink color",0.7
beef carpaccio,round,0.5
beef carpaccio,wagyu or angus,0.6
beef carpaccio,not be overcooked,0.8
beef carpaccio,color will be darker,0.6
beef carpaccio,firm and meaty,0.7
beef carpaccio,slight firmness,0.6
beef carpaccio,slight saltiness,0.7
beef carpaccio,light shade of pink,0.9
beef carpaccio,shine through,0.7
beef carpaccio,burgundy color,0.8
beef carpaccio,blush to it,0.7
beef carpaccio,overall tender,0.7
beef carpaccio,a little overcooked,0.5
beef carpaccio,rich hue,0.6
beef carpaccio,salmon pink color,0.8
beef carpaccio,garnishe,0.6
beef carpaccio,rich red,0.9
beef carpaccio,salt and pepper,0.5
beef carpaccio,delicate rose color,0.8
beef carpaccio,relative lean,0.7
beef carpaccio,slightly shiny,0.6
beef carpaccio,balsamic vinegar,0.5
beef carpaccio,visually appealing,0.8
beef carpaccio,bit red in color,0.9
beef carpaccio,delicate pink,0.8
beef carpaccio,look appetizing,0.8
beef carpaccio,beautiful red color,0.9
beef carpaccio,delicate and floral,0.5
beef carpaccio,sliced into wedges,0.7
beef carpaccio,red side,0.8
beef carpaccio,uniform in shape,0.6
beef carpaccio,lean protein,0.5
beef carpaccio,pretty in pink color,0.8
beef carpaccio,velvety,0.7
beef carpaccio,tossed in a dressing,0.6
beef carpaccio,pretty dish,0.5
beef carpaccio,thin white membrane,0.6
beef carpaccio,"juicy, red center",0.7
beef carpaccio,texture,0.6
beef carpaccio,two-dimensional,0.8
beef carpaccio,tender interior,0.5
beef carpaccio,as is,0.5
beef carpaccio,sheen,0.8
beef carpaccio,deep red exterior,0.8
beef carpaccio,slight opacity,0.5
beef carpaccio,bright red center,0.7
beef carpaccio,brilliant red,0.8
beef carpaccio,reddish tint,0.5
beef carpaccio,"stunning, deep red",0.9
beef carpaccio,dark pink or red,0.5
beef carpaccio,"deep, juicy red",0.5
beef carpaccio,cooked rare,0.5
beef carpaccio,very lean and tender,0.8
beef carpaccio,zesty red,0.6
beef carpaccio,surface was smooth,0.5
beef carpaccio,pinkish red,1.0
beef carpaccio,"long, flat fillet",0.5
beef carpaccio,passionate color,0.6
beef carpaccio,have a glossy sheen,0.7
beef carpaccio,drizzle on top,0.7
beef carpaccio,rare,0.8
beef carpaccio,too thin,0.5
beef carpaccio,glossy sheen,0.6
beef carpaccio,dull red color,0.5
beef carpaccio,well-marbled,0.7
beef carpaccio,not overcooked,0.5
beef carpaccio,fat is well-marbled,0.7
beef carpaccio,"dark, reddish brown",0.5
beef carpaccio,arugula and spinach,0.8
beef carpaccio,sliced lengthwise,0.5
beef carpaccio,sauce,0.6
beef carpaccio,parmesan or romano,0.7
beef carpaccio,dish,1.0
beef carpaccio,fatty,0.5
beef carpaccio,bright green garnish,0.5
beef carpaccio,very lean,0.5
beef carpaccio,rich red color,1.0
beef carpaccio,very unique dish,0.5
beef carpaccio,reddish tint to it,0.5
beef carpaccio,chewy and moist,0.5
beef carpaccio,fiery red,0.5
beef carpaccio,moist interior,0.8
beef carpaccio,variety of textures,0.5
beef carpaccio,few small bumps,0.6
beef carpaccio,slight chewiness,0.7
beef carpaccio,shiny,0.6
beef carpaccio,shaped like a circle,0.5
beef carpaccio,chilled,0.9
beef carpaccio,round or oval-shaped,0.7
beef carpaccio,uniform in color,0.8
beef carpaccio,not too mushy,0.5
beef carpaccio,sliced thinly,0.9
