class,concept,relation,relation_direction,weight
hen,chicken,RelatedTo,concept -> class,8.102839008643821
hen,chick,RelatedTo,concept -> class,7.419164373431821
hen,egg,RelatedTo,concept -> class,3.5681928199019737
hen,chicken,IsA,class -> concept,2.82842712474619
hen,layer,IsA,concept -> class,2.0
hen,female,IsA,class -> concept,2.0
hen,pullet,IsA,concept -> class,2.0
hen,chicken,IsA,class -> concept,2.0
hen,cackler,IsA,concept -> class,2.0
hen,bird,IsA,class -> concept,2.0
hen,egg,CreatedBy,concept -> class,2.0
hen,chicken,IsA,class -> concept,2.0
hen,chicken,RelatedTo,class -> concept,1.8360000000000003
hen,female,RelatedTo,class -> concept,1.1509999999999998
hen,cock,SimilarTo,class -> concept,1.0
hen,fowl,RelatedTo,class -> concept,1.0
hen,chicken,RelatedTo,class -> concept,1.0
hen,kept,RelatedTo,class -> concept,1.0
hen,person,RelatedTo,class -> concept,1.0
hen,flag,NotDesires,class -> concept,1.0
hen,dialectal,HasContext,class -> concept,1.0
hen,pejorative,HasContext,class -> concept,1.0
hen,fish,RelatedTo,class -> concept,1.0
hen,female,RelatedTo,class -> concept,1.0
hen,shellfish,RelatedTo,class -> concept,1.0
hen,hard clam,Synonym,class -> concept,1.0
hen,scotland,HasContext,class -> concept,1.0
hen,chicken,PartOf,class -> concept,1.0
hen,crustacean,RelatedTo,class -> concept,1.0
hen,pullet,RelatedTo,concept -> class,1.0
hen,egg,RelatedTo,class -> concept,1.0
hen,species,RelatedTo,class -> concept,1.0
hen,cockerel,RelatedTo,concept -> class,1.0
hen,hard clam,RelatedTo,class -> concept,1.0
hen,bird,RelatedTo,class -> concept,1.0
hen,dialectal,HasContext,class -> concept,1.0
hen,layer,RelatedTo,concept -> class,1.0
hen,bird,RelatedTo,class -> concept,0.4449999999999998
hen,egg,RelatedTo,class -> concept,0.2810000000000001
hen,layer,RelatedTo,class -> concept,0.2810000000000001
ostrich,bird,IsA,class -> concept,6.0
ostrich,person,IsA,class -> concept,2.0
ostrich,ratite,IsA,class -> concept,2.0
ostrich,nandu,RelatedTo,class -> concept,1.0
ostrich,bird,IsA,class -> concept,1.0
ostrich,africa,RelatedTo,class -> concept,1.0
ostrich,animal,IsA,class -> concept,1.0
ostrich,flightless,RelatedTo,concept -> class,1.0
ostrich,flightless,RelatedTo,class -> concept,1.0
ostrich,lay egg,CapableOf,class -> concept,1.0
ostrich,struthious,RelatedTo,concept -> class,1.0
ostrich,struthian,DerivedFrom,concept -> class,1.0
ostrich,struthian,RelatedTo,concept -> class,1.0
ostrich,tinamou,RelatedTo,class -> concept,1.0
ostrich,rhea,RelatedTo,class -> concept,1.0
ostrich,ratite,RelatedTo,concept -> class,1.0
ostrich,bird,IsA,class -> concept,0.5
brambling,finch,IsA,class -> concept,2.0
brambling,ling,DerivedFrom,class -> concept,1.0
brambling,finch,RelatedTo,class -> concept,1.0
brambling,eurasia,RelatedTo,class -> concept,1.0
brambling,finch,RelatedTo,concept -> class,1.0
brambling,bird,IsA,class -> concept,0.5
brambling,fringilla,genus,class -> concept,0.5
goldfinch,finch,IsA,class -> concept,2.0
goldfinch,finch,IsA,class -> concept,1.0
goldfinch,bird,IsA,class -> concept,1.0
goldfinch,distelfink,RelatedTo,concept -> class,1.0
goldfinch,passerine,RelatedTo,class -> concept,1.0
goldfinch,finch,DerivedFrom,class -> concept,1.0
goldfinch,bird,RelatedTo,class -> concept,1.0
goldfinch,gold,DerivedFrom,class -> concept,1.0
goldfinch,finch,RelatedTo,class -> concept,1.0
goldfinch,finch,IsA,class -> concept,1.0
junco,finch,IsA,class -> concept,2.0
junco,snowbird,Synonym,concept -> class,2.0
junco,snowbird,RelatedTo,concept -> class,1.0
junco,finch,RelatedTo,class -> concept,1.0
junco,snowbird,RelatedTo,concept -> class,1.0
junco,bird,RelatedTo,class -> concept,1.0
junco,snowbird,Synonym,class -> concept,1.0
junco,bird,IsA,class -> concept,0.5
bulbul,greenbul,Synonym,class -> concept,1.0
bulbul,timaline,RelatedTo,concept -> class,1.0
bulbul,africa,RelatedTo,class -> concept,1.0
bulbul,leaflove,Synonym,class -> concept,1.0
bulbul,leaflove,RelatedTo,concept -> class,1.0
bulbul,brownbul,Synonym,class -> concept,1.0
bulbul,greenbul,RelatedTo,concept -> class,1.0
bulbul,passerine,RelatedTo,class -> concept,1.0
bulbul,songbird,RelatedTo,class -> concept,1.0
bulbul,asia,RelatedTo,class -> concept,1.0
bulbul,bird,IsA,class -> concept,0.5
jay,slang,HasContext,class -> concept,1.0
jay,archaic,HasContext,class -> concept,1.0
jay,crow,RelatedTo,class -> concept,1.0
jay,jai,RelatedTo,concept -> class,1.0
jay,marijuana,RelatedTo,class -> concept,1.0
jay,perisoreus,RelatedTo,class -> concept,1.0
jay,jason,FormOf,class -> concept,1.0
jay,jamie,RelatedTo,class -> concept,1.0
jay,jason,RelatedTo,class -> concept,1.0
jay,gay,RelatedTo,concept -> class,1.0
jay,joint,RelatedTo,class -> concept,1.0
jay,james,RelatedTo,class -> concept,1.0
jay,aphelocoma,RelatedTo,class -> concept,1.0
jay,gay,EtymologicallyRelatedTo,class -> concept,0.25
magpie,chatterer,Synonym,class -> concept,2.0
magpie,hoarder,IsA,class -> concept,2.0
magpie,pack rat,Synonym,concept -> class,2.0
magpie,scavenger,Synonym,concept -> class,2.0
magpie,player,RelatedTo,class -> concept,1.0
magpie,maggie,DerivedFrom,concept -> class,1.0
magpie,piet,RelatedTo,concept -> class,1.0
magpie,target,RelatedTo,class -> concept,1.0
magpie,slang,HasContext,class -> concept,1.0
magpie,bull,RelatedTo,concept -> class,1.0
magpie,maggie,Synonym,class -> concept,1.0
magpie,bird,RelatedTo,class -> concept,1.0
magpie,inner,RelatedTo,concept -> class,1.0
magpie,outer,RelatedTo,class -> concept,1.0
magpie,outer,RelatedTo,concept -> class,1.0
magpie,inner,RelatedTo,class -> concept,1.0
magpie,pie,Synonym,class -> concept,1.0
magpie,piet,Synonym,class -> concept,1.0
magpie,military,HasContext,class -> concept,1.0
chickadee,titmouse,IsA,class -> concept,2.0
chickadee,parus,RelatedTo,class -> concept,1.0
chickadee,titmouse,Synonym,class -> concept,1.0
chickadee,passerine,RelatedTo,class -> concept,1.0
chickadee,songbird,RelatedTo,class -> concept,1.0
chickadee,bird,IsA,class -> concept,1.0
chickadee,titmouse,RelatedTo,concept -> class,1.0
chickadee,tit,Synonym,class -> concept,1.0
chickadee,paridae,RelatedTo,class -> concept,1.0
chickadee,tit,RelatedTo,concept -> class,1.0
chickadee,antmire,EtymologicallyRelatedTo,concept -> class,0.25
kite,flying,UsedFor,class -> concept,4.0
kite,air,AtLocation,class -> concept,4.0
kite,toy store,AtLocation,class -> concept,3.4641016151377544
kite,fun,UsedFor,class -> concept,2.0
kite,check,IsA,class -> concept,2.0
kite,glide,MannerOf,class -> concept,2.0
kite,sky,AtLocation,class -> concept,2.0
kite,toy,RelatedTo,class -> concept,1.63
kite,flying,RelatedTo,class -> concept,1.274
kite,string,PartOf,concept -> class,1.0
kite,string,AtLocation,concept -> class,1.0
kite,letter,RelatedTo,class -> concept,1.0
kite,nautical,HasContext,class -> concept,1.0
kite,slang,HasContext,class -> concept,1.0
kite,word,IsA,class -> concept,1.0
kite,travel,RelatedTo,class -> concept,1.0
kite,dialectal,HasContext,class -> concept,1.0
kite,rodent,RelatedTo,class -> concept,1.0
kite,soar,RelatedTo,class -> concept,1.0
kite,glide,RelatedTo,class -> concept,1.0
kite,check,RelatedTo,class -> concept,1.0
kite,scavenger,IsA,class -> concept,1.0
kite,tail,HasA,class -> concept,1.0
kite,park,AtLocation,class -> concept,1.0
kite,slang,HasContext,class -> concept,1.0
kite,glide,RelatedTo,concept -> class,1.0
kite,steal,RelatedTo,class -> concept,1.0
kite,toy,IsA,class -> concept,1.0
kite,string,RelatedTo,class -> concept,0.73
kite,tail,RelatedTo,class -> concept,0.714
kite,bird,IsA,class -> concept,0.5
kite,sky,RelatedTo,class -> concept,0.4619999999999997
kite,fun,RelatedTo,class -> concept,0.3239999999999998
kite,paper,RelatedTo,class -> concept,0.2919999999999998
kite,wind,RelatedTo,concept -> class,0.282
kite,air,RelatedTo,class -> concept,0.2160000000000002
kite,string,RelatedTo,concept -> class,0.2059999999999999
kite,bird,RelatedTo,class -> concept,0.1629999999999998
kite,cloth,RelatedTo,class -> concept,0.1619999999999999
vulture,marauder,Synonym,class -> concept,2.0
vulture,aegypiidae,IsA,concept -> class,2.0
vulture,vulturous,DerivedFrom,concept -> class,1.0
vulture,vulturism,DerivedFrom,concept -> class,1.0
vulture,vulturous,DerivedFrom,concept -> class,1.0
vulture,vulturine,DerivedFrom,concept -> class,1.0
vulture,vulturism,RelatedTo,concept -> class,1.0
vulture,quarry,RelatedTo,concept -> class,1.0
vulture,target,RelatedTo,class -> concept,1.0
vulture,vulturous,RelatedTo,concept -> class,1.0
vulture,bird,IsA,class -> concept,1.0
vulture,animal,IsA,class -> concept,1.0
vulture,bird,RelatedTo,class -> concept,1.0
vulture,vulturing,FormOf,concept -> class,1.0
vulture,bird,IsA,class -> concept,1.0
vulture,vulturine,RelatedTo,concept -> class,1.0
vulture,vrock,RelatedTo,concept -> class,1.0
vulture,scavenger,IsA,class -> concept,1.0
vulture,bird,IsA,class -> concept,0.5
newt,triton,Synonym,concept -> class,2.0
newt,salamander,IsA,class -> concept,2.0
newt,red eft,IsA,concept -> class,2.0
newt,eft,IsA,concept -> class,2.0
newt,amphibian,RelatedTo,class -> concept,1.0
newt,lizard,RelatedTo,class -> concept,1.0
newt,triturus,IsA,concept -> class,1.0
newt,asker,RelatedTo,concept -> class,1.0
newt,evet,RelatedTo,concept -> class,1.0
newt,eft,Synonym,class -> concept,1.0
newt,eft,RelatedTo,concept -> class,1.0
newt,ask,Synonym,class -> concept,1.0
newt,ask,RelatedTo,concept -> class,1.0
newt,salamander,Synonym,class -> concept,1.0
newt,salamander,IsA,class -> concept,1.0
newt,lizard,RelatedTo,class -> concept,0.9050000000000002
newt,amphibian,RelatedTo,class -> concept,0.4539999999999997
newt,reptile,RelatedTo,class -> concept,0.2999999999999998
newt,eft,EtymologicallyRelatedTo,class -> concept,0.25
newt,little,RelatedTo,class -> concept,0.1030000000000002
newt,animal,RelatedTo,class -> concept,0.1019999999999998
newt,small,RelatedTo,class -> concept,0.1019999999999998
axolotl,ambystomid,IsA,class -> concept,2.0
axolotl,mud puppy,Synonym,concept -> class,2.0
axolotl,salamander,RelatedTo,class -> concept,1.0
axolotl,siredon,RelatedTo,concept -> class,1.0
axolotl,mexico,RelatedTo,class -> concept,1.0
axolotl,waterdog,RelatedTo,concept -> class,1.0
axolotl,amphibian,IsA,class -> concept,0.5
terrapin,turtle,IsA,class -> concept,2.0
terrapin,terapin,FormOf,concept -> class,1.0
terrapin,water,RelatedTo,class -> concept,1.0
terrapin,elodian,RelatedTo,concept -> class,1.0
terrapin,brackish,RelatedTo,class -> concept,1.0
terrapin,tortoise,RelatedTo,concept -> class,1.0
terrapin,slider,RelatedTo,concept -> class,1.0
terrapin,turtle,RelatedTo,concept -> class,1.0
terrapin,turtle,IsA,class -> concept,1.0
terrapin,anapsid,RelatedTo,concept -> class,1.0
terrapin,turtle,RelatedTo,class -> concept,1.0
terrapin,fresh,RelatedTo,class -> concept,1.0
terrapin,emydidae,RelatedTo,class -> concept,1.0
terrapin,family,RelatedTo,class -> concept,1.0
terrapin,weapon,IsA,class -> concept,0.5
agama,agamid,IsA,class -> concept,2.0
agama,lizard,RelatedTo,class -> concept,1.0
agama,agamid,RelatedTo,class -> concept,1.0
agama,genus,RelatedTo,class -> concept,1.0
agama,agamidae,RelatedTo,class -> concept,1.0
agama,lizard,IsA,class -> concept,1.0
chameleon,lizard,IsA,class -> concept,2.0
chameleon,person,IsA,class -> concept,2.0
chameleon,chamaeleon,Synonym,concept -> class,2.0
chameleon,reptile,RelatedTo,class -> concept,1.0
chameleon,lizard,IsA,class -> concept,1.0
chameleon,physics,HasContext,class -> concept,1.0
chameleon,lizard,IsA,class -> concept,1.0
chameleon,chamaeleon,FormOf,concept -> class,1.0
chameleon,rieppeleon,IsA,concept -> class,1.0
chameleon,chamæleon,FormOf,concept -> class,1.0
chameleon,lizard,RelatedTo,class -> concept,1.0
chameleon,chamaeleon,FormOf,concept -> class,1.0
chameleon,chamæleon,FormOf,concept -> class,1.0
chameleon,kinyongia,IsA,concept -> class,1.0
chameleon,adjust,RelatedTo,class -> concept,1.0
chameleon,particle,RelatedTo,class -> concept,1.0
chameleon,reptile,IsA,class -> concept,0.5
triceratops,genus,RelatedTo,class -> concept,1.0
triceratops,animal,IsA,class -> concept,1.0
triceratops,epijugal,RelatedTo,concept -> class,1.0
triceratops,extinct,RelatedTo,class -> concept,1.0
triceratops,ceratopsid,RelatedTo,class -> concept,1.0
triceratops,cretaceous,RelatedTo,class -> concept,1.0
kingsnake,king,DerivedFrom,class -> concept,1.0
kingsnake,snake,RelatedTo,class -> concept,1.0
kingsnake,snake,DerivedFrom,class -> concept,1.0
kingsnake,colubrid,RelatedTo,class -> concept,1.0
trilobite,arthropod,IsA,class -> concept,2.0
trilobite,protaspid,RelatedTo,concept -> class,1.0
trilobite,trilobitic,RelatedTo,concept -> class,1.0
trilobite,arthropod,RelatedTo,class -> concept,1.0
trilobite,holaspis,RelatedTo,concept -> class,1.0
trilobite,lobe,RelatedTo,class -> concept,1.0
trilobite,olenimorph,RelatedTo,concept -> class,1.0
trilobite,olenimorph,RelatedTo,concept -> class,1.0
trilobite,protaspis,RelatedTo,concept -> class,1.0
trilobite,tri,DerivedFrom,class -> concept,1.0
trilobite,bug,RelatedTo,concept -> class,1.0
trilobite,trilobitic,DerivedFrom,concept -> class,1.0
trilobite,buckler,RelatedTo,concept -> class,1.0
trilobite,pygidium,RelatedTo,concept -> class,1.0
trilobite,lobe,DerivedFrom,class -> concept,1.0
trilobite,extinct,RelatedTo,class -> concept,1.0
harvestman,arachnid,IsA,class -> concept,2.0
harvestman,harvest,DerivedFrom,class -> concept,1.0
harvestman,carter,Synonym,class -> concept,1.0
harvestman,opiliones,RelatedTo,class -> concept,1.0
harvestman,harvest,RelatedTo,class -> concept,1.0
harvestman,travunioid,RelatedTo,concept -> class,1.0
harvestman,dromopoda,IsA,class -> concept,1.0
harvestman,samoid,RelatedTo,concept -> class,1.0
harvestman,leiobunine,RelatedTo,concept -> class,1.0
harvestman,arachnid,RelatedTo,class -> concept,1.0
scorpion,arachnid,IsA,class -> concept,2.0
scorpion,scorpio,RelatedTo,class -> concept,2.0
scorpion,insect,RelatedTo,class -> concept,1.094
scorpion,dromopoda,IsA,class -> concept,1.0
scorpion,spiders,RelatedTo,class -> concept,1.0
scorpion,comb,RelatedTo,concept -> class,1.0
scorpion,move,RelatedTo,class -> concept,1.0
scorpion,historical,HasContext,class -> concept,1.0
scorpion,scorpio,RelatedTo,concept -> class,1.0
scorpion,arachnid,RelatedTo,concept -> class,1.0
scorpion,venomous,RelatedTo,class -> concept,1.0
scorpion,stone,RelatedTo,class -> concept,1.0
scorpion,star sign,RelatedTo,class -> concept,1.0
scorpion,sting,RelatedTo,class -> concept,1.0
scorpion,scorpio,RelatedTo,class -> concept,1.0
scorpion,mesobuthid,RelatedTo,concept -> class,1.0
scorpion,sting,CapableOf,class -> concept,1.0
scorpion,arachnid,RelatedTo,class -> concept,1.0
scorpion,military,RelatedTo,class -> concept,1.0
scorpion,foot,RelatedTo,class -> concept,1.0
scorpion,praetorian,RelatedTo,concept -> class,1.0
scorpion,star sign,RelatedTo,class -> concept,1.0
scorpion,arachnid,IsA,class -> concept,0.5
scorpion,bug,RelatedTo,class -> concept,0.484
scorpion,pinch,RelatedTo,class -> concept,0.1829999999999998
scorpion,lobster,RelatedTo,class -> concept,0.1699999999999999
scorpion,tail,RelatedTo,class -> concept,0.137
scorpion,dangerous,RelatedTo,class -> concept,0.1
tarantula,spider,IsA,class -> concept,2.0
tarantula,large,RelatedTo,class -> concept,1.0
tarantula,spiders,RelatedTo,class -> concept,1.0
tarantula,tarantism,RelatedTo,concept -> class,1.0
tarantula,tarantella,RelatedTo,class -> concept,1.0
tarantula,theraphosa,IsA,concept -> class,1.0
tarantula,euathlus,IsA,concept -> class,1.0
tarantula,avicularia,IsA,concept -> class,1.0
tarantula,tarantism,RelatedTo,class -> concept,1.0
tarantula,tarantella,RelatedTo,concept -> class,1.0
tarantula,pokie,RelatedTo,concept -> class,1.0
tarantula,spider,IsA,class -> concept,1.0
tarantula,spider,IsA,class -> concept,1.0
tarantula,hairy,RelatedTo,class -> concept,1.0
tick,mattress,IsA,class -> concept,2.0
tick,beat,Synonym,concept -> class,2.0
tick,click,Synonym,class -> concept,2.0
tick,meadow,AtLocation,class -> concept,2.0
tick,check,Synonym,class -> concept,2.0
tick,sound,MannerOf,class -> concept,2.0
tick,check mark,Synonym,concept -> class,2.0
tick,check mark,Synonym,class -> concept,2.0
tick,sound,IsA,class -> concept,2.0
tick,click,RelatedTo,concept -> class,1.0
tick,arachnid,RelatedTo,class -> concept,1.0
tick,british,HasContext,class -> concept,1.0
tick,mattress,RelatedTo,class -> concept,1.0
tick,clock,RelatedTo,class -> concept,1.0
tick,check mark,Synonym,class -> concept,1.0
tick,check,RelatedTo,concept -> class,1.0
tick,check,Synonym,concept -> class,1.0
tick,check,Synonym,class -> concept,1.0
tick,hand,RelatedTo,class -> concept,1.0
tick,computing,HasContext,class -> concept,1.0
tick,slang,HasContext,class -> concept,1.0
tick,check,RelatedTo,concept -> class,1.0
tick,form,RelatedTo,concept -> class,0.2080000000000001
tick,clock,RelatedTo,concept -> class,0.1360000000000001
centipede,arthropod,IsA,class -> concept,2.0
centipede,myriapod,RelatedTo,concept -> class,1.0
centipede,arthropod,RelatedTo,class -> concept,1.0
centipede,centi,RelatedTo,concept -> class,1.0
centipede,chilopod,Synonym,concept -> class,1.0
centipede,insect,RelatedTo,concept -> class,1.0
centipede,multipede,RelatedTo,concept -> class,1.0
centipede,myriapod,IsA,class -> concept,1.0
centipede,chilopod,Synonym,class -> concept,1.0
centipede,myriapod,RelatedTo,class -> concept,1.0
centipede,forcipule,RelatedTo,concept -> class,1.0
centipede,animal,IsA,class -> concept,1.0
centipede,chilopod,RelatedTo,concept -> class,1.0
centipede,animal,IsA,class -> concept,0.5
ptarmigan,grouse,IsA,class -> concept,2.0
ptarmigan,subarctic,RelatedTo,class -> concept,1.0
ptarmigan,lagopode,RelatedTo,concept -> class,1.0
ptarmigan,species,RelatedTo,class -> concept,1.0
ptarmigan,eurasia,RelatedTo,class -> concept,1.0
ptarmigan,grouse,RelatedTo,class -> concept,1.0
ptarmigan,rype,RelatedTo,concept -> class,1.0
ptarmigan,genus,RelatedTo,class -> concept,1.0
ptarmigan,tundra,RelatedTo,class -> concept,1.0
ptarmigan,lagopus,RelatedTo,class -> concept,1.0
ptarmigan,lagopus,Synonym,class -> concept,1.0
ptarmigan,chicken,EtymologicallyRelatedTo,concept -> class,0.25
peafowl,peahen,IsA,concept -> class,2.0
peafowl,peacock,Synonym,class -> concept,2.0
peafowl,peacock,IsA,concept -> class,2.0
peafowl,pheasant,IsA,class -> concept,2.0
peafowl,peachick,IsA,concept -> class,2.0
peafowl,pavonine,RelatedTo,concept -> class,1.0
peafowl,afropavo,RelatedTo,class -> concept,1.0
peafowl,peacock,Synonym,concept -> class,1.0
peafowl,peahen,RelatedTo,class -> concept,1.0
peafowl,phasianid,RelatedTo,concept -> class,1.0
peafowl,peacock,RelatedTo,concept -> class,1.0
peafowl,phasianid,RelatedTo,concept -> class,1.0
peafowl,peachick,RelatedTo,concept -> class,1.0
peafowl,pajock,RelatedTo,concept -> class,1.0
peafowl,peacock,IsA,concept -> class,1.0
peafowl,muster,RelatedTo,class -> concept,1.0
peafowl,peacock,RelatedTo,class -> concept,1.0
peafowl,pheasant,RelatedTo,class -> concept,1.0
peafowl,peachick,RelatedTo,class -> concept,1.0
peafowl,fowl,DerivedFrom,class -> concept,1.0
peafowl,muster,RelatedTo,concept -> class,1.0
peafowl,pavonine,RelatedTo,class -> concept,1.0
peafowl,peahen,RelatedTo,concept -> class,1.0
peafowl,bird,IsA,class -> concept,0.5
peafowl,peahen,EtymologicallyRelatedTo,concept -> class,0.25
quail,bird,RelatedTo,class -> concept,3.721827508093302
quail,bird,IsA,class -> concept,3.4641016151377544
quail,phasianid,IsA,class -> concept,2.0
quail,wildfowl,IsA,class -> concept,2.0
quail,flinch,Synonym,class -> concept,2.0
quail,game bird,HasContext,class -> concept,2.0
quail,bobwhite,IsA,concept -> class,2.0
quail,small,RelatedTo,class -> concept,1.36
quail,coagulate,RelatedTo,class -> concept,1.0
quail,old world,RelatedTo,class -> concept,1.0
quail,fowl,RelatedTo,concept -> class,1.0
quail,queal,FormOf,concept -> class,1.0
quail,phasianid,RelatedTo,concept -> class,1.0
quail,milk,RelatedTo,class -> concept,1.0
quail,game bird,RelatedTo,class -> concept,1.0
quail,bobwhite,RelatedTo,concept -> class,1.0
quail,phasianid,RelatedTo,concept -> class,1.0
quail,game bird,RelatedTo,class -> concept,0.7480000000000002
quail,game,RelatedTo,class -> concept,0.7480000000000002
quail,pheasant,RelatedTo,class -> concept,0.7279999999999998
quail,chicken,RelatedTo,class -> concept,0.6100000000000003
quail,hunting,RelatedTo,class -> concept,0.484
quail,food,RelatedTo,class -> concept,0.3210000000000002
quail,coagulate,EtymologicallyRelatedTo,class -> concept,0.25
quail,queal,EtymologicallyRelatedTo,concept -> class,0.25
quail,eating,RelatedTo,class -> concept,0.1909999999999998
quail,feather,RelatedTo,class -> concept,0.1659999999999999
quail,head,RelatedTo,class -> concept,0.1659999999999999
quail,fowl,RelatedTo,class -> concept,0.1640000000000001
quail,france,RelatedTo,class -> concept,0.1640000000000001
quail,type,RelatedTo,class -> concept,0.1019999999999998
partridge,phasianid,IsA,class -> concept,2.0
partridge,bobwhite,Synonym,class -> concept,2.0
partridge,tinamou,Synonym,class -> concept,2.0
partridge,wildfowl,IsA,class -> concept,2.0
partridge,perdicine,RelatedTo,concept -> class,1.0
partridge,fowl,RelatedTo,concept -> class,1.0
partridge,poult,RelatedTo,concept -> class,1.0
partridge,bird,RelatedTo,class -> concept,1.0
partridge,genera,RelatedTo,class -> concept,1.0
partridge,rudge,RelatedTo,concept -> class,1.0
partridge,squat,RelatedTo,concept -> class,1.0
partridge,fur,RelatedTo,concept -> class,1.0
partridge,bird,IsA,class -> concept,0.5
partridge,pear,RelatedTo,concept -> class,0.1129999999999999
macaw,parrot,IsA,class -> concept,2.0
macaw,plumage,RelatedTo,class -> concept,1.0
macaw,sabre,RelatedTo,class -> concept,1.0
macaw,genera,RelatedTo,class -> concept,1.0
macaw,parrot,RelatedTo,class -> concept,1.0
macaw,ara,RelatedTo,class -> concept,1.0
macaw,bill,RelatedTo,class -> concept,1.0
macaw,parrot,IsA,class -> concept,1.0
macaw,ara,RelatedTo,concept -> class,1.0
macaw,bird,IsA,class -> concept,0.5
lorikeet,lory,IsA,class -> concept,2.0
lorikeet,lory,RelatedTo,class -> concept,1.0
lorikeet,brightly,RelatedTo,class -> concept,1.0
lorikeet,parakeet,RelatedTo,class -> concept,1.0
lorikeet,lory,RelatedTo,concept -> class,1.0
lorikeet,colour,RelatedTo,class -> concept,1.0
lorikeet,rosella,RelatedTo,class -> concept,1.0
lorikeet,rosella,RelatedTo,concept -> class,1.0
lorikeet,parrot,RelatedTo,class -> concept,1.0
lorikeet,loriinae,RelatedTo,class -> concept,1.0
coucal,cuckoo,IsA,class -> concept,2.0
coucal,cuckoo,RelatedTo,class -> concept,1.0
coucal,cuculidae,RelatedTo,class -> concept,1.0
coucal,centropus,RelatedTo,class -> concept,1.0
coucal,rainbird,RelatedTo,concept -> class,1.0
coucal,bird,IsA,class -> concept,0.5
hornbill,imprison,RelatedTo,class -> concept,1.0
hornbill,bill,RelatedTo,class -> concept,1.0
hornbill,horn,RelatedTo,class -> concept,1.0
hornbill,casque,RelatedTo,class -> concept,1.0
hornbill,bird,RelatedTo,class -> concept,1.0
hornbill,horn,DerivedFrom,class -> concept,1.0
hornbill,casque,RelatedTo,concept -> class,1.0
hornbill,tree,RelatedTo,class -> concept,1.0
hornbill,bill,DerivedFrom,class -> concept,1.0
hornbill,bird,IsA,class -> concept,0.5
hummingbird,bird,IsA,class -> concept,2.0
hummingbird,thornbill,IsA,concept -> class,2.0
hummingbird,bird,IsA,class -> concept,1.5
hummingbird,animal,IsA,class -> concept,1.0
hummingbird,sunbeam,RelatedTo,concept -> class,1.0
