class,concept,weight
Black footed Albatross,breast color is blue,1.78571428571
Black footed Albatross,breast color is brown,33.9285714286
Black footed Albatross,breast color is iridescent,2.67857142857
Black footed Albatross,breast color is rufous,4.46428571429
Black footed Albatross,breast color is grey,33.0357142857
Black footed Albatross,breast color is black,21.4285714286
Black footed Albatross,breast color is white,2.67857142857
Black footed Albatross,breast color is red,5.35714285714
Black footed Albatross,breast color is buff,19.6428571429
Black footed Albatross,throat color is blue,1.42857142857
Black footed Albatross,throat color is brown,31.4285714286
Black footed Albatross,throat color is iridescent,3.57142857143
Black footed Albatross,throat color is rufous,2.85714285714
Black footed Albatross,throat color is grey,23.5714285714
Black footed Albatross,throat color is black,20.0
Black footed Albatross,throat color is white,7.85714285714
Black footed Albatross,throat color is red,6.42857142857
Black footed Albatross,throat color is buff,28.5714285714
Black footed Albatross,eye color is brown,3.78787878788
Black footed Albatross,eye color is grey,2.27272727273
Black footed Albatross,eye color is yellow,1.51515151515
Black footed Albatross,eye color is black,81.0606060606
Black footed Albatross,eye color is white,8.33333333333
Black footed Albatross,eye color is red,4.54545454545
Black footed Albatross,eye color is buff,0.757575757576
Black footed Albatross,bill length is about the same as head,82.2695035461
Black footed Albatross,bill length is longer than head,7.80141843972
Black footed Albatross,bill length is shorter than head,9.92907801418
Black footed Albatross,forehead color is blue,1.44927536232
Black footed Albatross,forehead color is brown,14.4927536232
Black footed Albatross,forehead color is iridescent,2.17391304348
Black footed Albatross,forehead color is grey,29.7101449275
Black footed Albatross,forehead color is black,11.5942028986
Black footed Albatross,forehead color is white,31.1594202899
Black footed Albatross,forehead color is red,6.52173913043
Black footed Albatross,forehead color is buff,27.5362318841
Black footed Albatross,under tail color is blue,2.1978021978
Black footed Albatross,under tail color is brown,35.1648351648
Black footed Albatross,under tail color is iridescent,2.1978021978
Black footed Albatross,under tail color is rufous,5.49450549451
Black footed Albatross,under tail color is grey,27.4725274725
Black footed Albatross,under tail color is black,30.7692307692
Black footed Albatross,under tail color is white,19.7802197802
Black footed Albatross,under tail color is red,6.59340659341
Black footed Albatross,under tail color is buff,21.978021978
Black footed Albatross,nape color is blue,1.51515151515
Black footed Albatross,nape color is brown,40.1515151515
Black footed Albatross,nape color is iridescent,2.27272727273
Black footed Albatross,nape color is rufous,3.0303030303
Black footed Albatross,nape color is grey,26.5151515152
Black footed Albatross,nape color is black,18.1818181818
Black footed Albatross,nape color is white,5.30303030303
Black footed Albatross,nape color is red,6.06060606061
Black footed Albatross,nape color is buff,23.4848484848
Black footed Albatross,belly color is blue,2.24719101124
Black footed Albatross,belly color is brown,25.8426966292
Black footed Albatross,belly color is iridescent,3.37078651685
Black footed Albatross,belly color is rufous,5.61797752809
Black footed Albatross,belly color is grey,29.2134831461
Black footed Albatross,belly color is black,21.3483146067
Black footed Albatross,belly color is white,7.86516853933
Black footed Albatross,belly color is red,6.74157303371
Black footed Albatross,belly color is buff,25.8426966292
Black footed Albatross,wing shape is rounded-wings,13.7614678899
Black footed Albatross,wing shape is pointed-wings,20.1834862385
Black footed Albatross,wing shape is broad-wings,11.0091743119
Black footed Albatross,wing shape is tapered-wings,11.0091743119
Black footed Albatross,wing shape is long-wings,52.2935779817
Black footed Albatross,size is large (16 - 32 in),19.2307692308
Black footed Albatross,size is small (5 - 9 in),10.0
Black footed Albatross,size is very large (32 - 72 in),1.53846153846
Black footed Albatross,size is medium (9 - 16 in),66.9230769231
Black footed Albatross,size is very small (3 - 5 in),2.30769230769
Black footed Albatross,shape is upright-perching water-like,7.46268656716
Black footed Albatross,shape is long-legged-like,2.23880597015
Black footed Albatross,shape is duck-like,33.5820895522
Black footed Albatross,shape is gull-like,34.328358209
Black footed Albatross,shape is pigeon-like,0.746268656716
Black footed Albatross,shape is hawk-like,8.20895522388
Black footed Albatross,shape is sandpiper-like,1.49253731343
Black footed Albatross,shape is upland-ground-like,2.98507462687
Black footed Albatross,shape is swallow-like,3.73134328358
Black footed Albatross,shape is perching-like,5.22388059701
Black footed Albatross,back pattern is solid,58.5858585859
Black footed Albatross,back pattern is spotted,3.0303030303
Black footed Albatross,back pattern is striped,18.1818181818
Black footed Albatross,back pattern is multi-colored,20.202020202
Black footed Albatross,tail pattern is solid,45.7446808511
Black footed Albatross,tail pattern is spotted,3.1914893617
Black footed Albatross,tail pattern is striped,14.8936170213
Black footed Albatross,tail pattern is multi-colored,36.170212766
Black footed Albatross,belly pattern is solid,81.7073170732
Black footed Albatross,belly pattern is striped,3.65853658537
Black footed Albatross,belly pattern is multi-colored,14.6341463415
Black footed Albatross,primary color is blue,2.01342281879
Black footed Albatross,primary color is brown,48.322147651
Black footed Albatross,primary color is iridescent,1.34228187919
Black footed Albatross,primary color is rufous,2.01342281879
Black footed Albatross,primary color is grey,24.8322147651
Black footed Albatross,primary color is black,26.8456375839
Black footed Albatross,primary color is white,2.68456375839
Black footed Albatross,primary color is red,4.02684563758
Black footed Albatross,primary color is buff,24.1610738255
Black footed Albatross,leg color is blue,4.16666666667
Black footed Albatross,leg color is brown,16.6666666667
Black footed Albatross,leg color is grey,27.0833333333
Black footed Albatross,leg color is black,39.5833333333
Black footed Albatross,leg color is red,12.5
Black footed Albatross,leg color is buff,10.4166666667
Black footed Albatross,bill color is blue,2.12765957447
Black footed Albatross,bill color is brown,20.5673758865
Black footed Albatross,bill color is iridescent,2.12765957447
Black footed Albatross,bill color is grey,34.7517730496
Black footed Albatross,bill color is black,32.6241134752
Black footed Albatross,bill color is white,4.25531914894
Black footed Albatross,bill color is red,6.3829787234
Black footed Albatross,bill color is buff,21.9858156028
Black footed Albatross,crown color is blue,2.12765957447
Black footed Albatross,crown color is brown,24.1134751773
Black footed Albatross,crown color is iridescent,3.54609929078
Black footed Albatross,crown color is grey,32.6241134752
Black footed Albatross,crown color is black,21.2765957447
Black footed Albatross,crown color is white,11.3475177305
Black footed Albatross,crown color is red,2.12765957447
Black footed Albatross,crown color is buff,31.914893617
Black footed Albatross,wing pattern is solid,53.5714285714
Black footed Albatross,wing pattern is spotted,5.35714285714
Black footed Albatross,wing pattern is striped,21.4285714286
Black footed Albatross,wing pattern is multi-colored,19.6428571429
Laysan Albatross,bill shape is curved (up or down),4.41176470588
Laysan Albatross,bill shape is dagger,4.41176470588
Laysan Albatross,bill shape is hooked,2.94117647059
Laysan Albatross,bill shape is needle,1.47058823529
Laysan Albatross,bill shape is hooked seabird,57.3529411765
Laysan Albatross,bill shape is spatulate,27.2058823529
Laysan Albatross,bill shape is cone,2.20588235294
Laysan Albatross,wing color is brown,37.2727272727
Laysan Albatross,wing color is grey,20.9090909091
Laysan Albatross,wing color is black,52.7272727273
Laysan Albatross,wing color is white,9.09090909091
Laysan Albatross,wing color is buff,7.27272727273
Laysan Albatross,upperparts color is brown,41.6666666667
Laysan Albatross,upperparts color is grey,17.7083333333
Laysan Albatross,upperparts color is black,51.0416666667
Laysan Albatross,upperparts color is white,20.8333333333
Laysan Albatross,upperparts color is buff,2.08333333333
Laysan Albatross,underparts color is brown,0.917431192661
Laysan Albatross,underparts color is grey,4.5871559633
Laysan Albatross,underparts color is black,6.42201834862
Laysan Albatross,underparts color is white,93.5779816514
Laysan Albatross,breast pattern is solid,95.9016393443
Laysan Albatross,breast pattern is multi-colored,4.09836065574
Laysan Albatross,back color is brown,44.4444444444
Laysan Albatross,back color is grey,11.1111111111
Laysan Albatross,back color is black,41.1111111111
Laysan Albatross,back color is white,24.4444444444
Laysan Albatross,back color is buff,3.33333333333
Laysan Albatross,tail shape is forked tail,5.40540540541
Laysan Albatross,tail shape is rounded tail,17.5675675676
Laysan Albatross,tail shape is notched tail,14.8648648649
Laysan Albatross,tail shape is fan-shaped tail,12.1621621622
Laysan Albatross,tail shape is pointed tail,24.3243243243
Laysan Albatross,tail shape is squared tail,25.6756756757
Laysan Albatross,upper tail color is brown,20.8333333333
Laysan Albatross,upper tail color is grey,8.33333333333
Laysan Albatross,upper tail color is black,40.2777777778
Laysan Albatross,upper tail color is white,36.1111111111
Laysan Albatross,head pattern is malar,0.847457627119
Laysan Albatross,head pattern is crested,1.69491525424
Laysan Albatross,head pattern is masked,16.1016949153
Laysan Albatross,head pattern is unique pattern,7.62711864407
Laysan Albatross,head pattern is eyebrow,0.847457627119
Laysan Albatross,head pattern is eyering,2.54237288136
Laysan Albatross,head pattern is plain,31.3559322034
Laysan Albatross,head pattern is eyeline,42.3728813559
Laysan Albatross,head pattern is striped,2.54237288136
Laysan Albatross,head pattern is capped,2.54237288136
Laysan Albatross,breast color is brown,0.840336134454
Laysan Albatross,breast color is grey,3.36134453782
Laysan Albatross,breast color is black,2.52100840336
Laysan Albatross,breast color is white,93.2773109244
Laysan Albatross,throat color is blue,1.5037593985
Laysan Albatross,throat color is brown,0.751879699248
Laysan Albatross,throat color is grey,12.030075188
Laysan Albatross,throat color is black,6.01503759398
Laysan Albatross,throat color is white,89.4736842105
Laysan Albatross,eye color is brown,1.65289256198
Laysan Albatross,eye color is black,99.173553719
Laysan Albatross,eye color is white,1.65289256198
Laysan Albatross,bill length is about the same as head,65.3543307087
Laysan Albatross,bill length is longer than head,31.4960629921
Laysan Albatross,bill length is shorter than head,3.14960629921
Laysan Albatross,forehead color is brown,0.77519379845
Laysan Albatross,forehead color is grey,1.5503875969
Laysan Albatross,forehead color is black,2.32558139535
Laysan Albatross,forehead color is white,96.8992248062
Laysan Albatross,under tail color is brown,17.5
Laysan Albatross,under tail color is grey,8.75
Laysan Albatross,under tail color is black,65.0
Laysan Albatross,under tail color is white,31.25
Laysan Albatross,nape color is brown,4.8
Laysan Albatross,nape color is grey,4.8
Laysan Albatross,nape color is black,1.6
Laysan Albatross,nape color is white,92.0
Laysan Albatross,nape color is buff,1.6
Laysan Albatross,belly color is brown,0.917431192661
Laysan Albatross,belly color is grey,4.5871559633
Laysan Albatross,belly color is black,5.50458715596
Laysan Albatross,belly color is white,91.7431192661
Laysan Albatross,wing shape is rounded-wings,7.07070707071
Laysan Albatross,wing shape is pointed-wings,14.1414141414
Laysan Albatross,wing shape is broad-wings,10.101010101
Laysan Albatross,wing shape is tapered-wings,14.1414141414
Laysan Albatross,wing shape is long-wings,62.6262626263
Laysan Albatross,size is large (16 - 32 in),31.6239316239
Laysan Albatross,size is small (5 - 9 in),1.7094017094
Laysan Albatross,size is very large (32 - 72 in),17.9487179487
Laysan Albatross,size is medium (9 - 16 in),48.7179487179
Laysan Albatross,shape is upright-perching water-like,5.55555555556
Laysan Albatross,shape is chicken-like-marsh,5.55555555556
Laysan Albatross,shape is long-legged-like,1.5873015873
Laysan Albatross,shape is duck-like,25.3968253968
Laysan Albatross,shape is gull-like,39.6825396825
Laysan Albatross,shape is hummingbird-like,2.38095238095
Laysan Albatross,shape is pigeon-like,0.793650793651
Laysan Albatross,shape is hawk-like,3.96825396825
Laysan Albatross,shape is upland-ground-like,9.52380952381
Laysan Albatross,shape is swallow-like,3.96825396825
Laysan Albatross,shape is perching-like,1.5873015873
Laysan Albatross,back pattern is solid,68.8888888889
Laysan Albatross,back pattern is spotted,3.33333333333
Laysan Albatross,back pattern is striped,7.77777777778
Laysan Albatross,back pattern is multi-colored,20.0
Laysan Albatross,tail pattern is solid,55.8441558442
Laysan Albatross,tail pattern is spotted,1.2987012987
Laysan Albatross,tail pattern is striped,6.49350649351
Laysan Albatross,tail pattern is multi-colored,36.3636363636
Laysan Albatross,belly pattern is solid,95.4545454545
Laysan Albatross,belly pattern is multi-colored,4.54545454545
Laysan Albatross,primary color is brown,30.6569343066
Laysan Albatross,primary color is grey,19.7080291971
Laysan Albatross,primary color is black,43.0656934307
Laysan Albatross,primary color is white,86.1313868613
Laysan Albatross,primary color is buff,5.83941605839
Laysan Albatross,leg color is brown,8.51063829787
Laysan Albatross,leg color is rufous,2.12765957447
Laysan Albatross,leg color is grey,19.1489361702
Laysan Albatross,leg color is orange,4.25531914894
Laysan Albatross,leg color is black,6.3829787234
Laysan Albatross,leg color is white,38.2978723404
Laysan Albatross,leg color is buff,38.2978723404
Laysan Albatross,bill color is blue,2.27272727273
Laysan Albatross,bill color is brown,1.51515151515
Laysan Albatross,bill color is grey,24.2424242424
Laysan Albatross,bill color is orange,18.1818181818
Laysan Albatross,bill color is black,1.51515151515
Laysan Albatross,bill color is white,20.4545454545
Laysan Albatross,bill color is buff,56.0606060606
Laysan Albatross,crown color is brown,3.00751879699
Laysan Albatross,crown color is grey,2.25563909774
Laysan Albatross,crown color is orange,2.25563909774
Laysan Albatross,crown color is black,2.25563909774
Laysan Albatross,crown color is white,94.7368421053
Laysan Albatross,wing pattern is solid,77.1428571429
Laysan Albatross,wing pattern is spotted,3.80952380952
Laysan Albatross,wing pattern is striped,10.4761904762
Laysan Albatross,wing pattern is multi-colored,8.57142857143
Sooty Albatross,bill shape is dagger,3.97350993377
Sooty Albatross,bill shape is hooked,3.31125827815
Sooty Albatross,bill shape is hooked seabird,70.8609271523
Sooty Albatross,bill shape is spatulate,14.5695364238
Sooty Albatross,bill shape is all-purpose,5.29801324503
Sooty Albatross,bill shape is cone,1.98675496689
Sooty Albatross,wing color is brown,26.6666666667
Sooty Albatross,wing color is grey,47.5
Sooty Albatross,wing color is green,1.66666666667
Sooty Albatross,wing color is pink,2.5
Sooty Albatross,wing color is black,26.6666666667
Sooty Albatross,wing color is white,11.6666666667
Sooty Albatross,wing color is red,2.5
Sooty Albatross,wing color is buff,11.6666666667
Sooty Albatross,upperparts color is blue,1.88679245283
Sooty Albatross,upperparts color is brown,19.8113207547
Sooty Albatross,upperparts color is purple,2.83018867925
Sooty Albatross,upperparts color is grey,47.1698113208
Sooty Albatross,upperparts color is orange,2.83018867925
Sooty Albatross,upperparts color is black,24.5283018868
Sooty Albatross,upperparts color is white,14.1509433962
Sooty Albatross,upperparts color is buff,22.641509434
Sooty Albatross,underparts color is blue,3.77358490566
Sooty Albatross,underparts color is brown,17.9245283019
Sooty Albatross,underparts color is purple,5.66037735849
Sooty Albatross,underparts color is grey,40.5660377358
Sooty Albatross,underparts color is black,24.5283018868
Sooty Albatross,underparts color is white,14.1509433962
Sooty Albatross,underparts color is buff,14.1509433962
Sooty Albatross,breast pattern is solid,74.6031746032
Sooty Albatross,breast pattern is spotted,3.1746031746
Sooty Albatross,breast pattern is striped,4.7619047619
Sooty Albatross,breast pattern is multi-colored,17.4603174603
Sooty Albatross,back color is blue,1.81818181818
Sooty Albatross,back color is brown,19.0909090909
Sooty Albatross,back color is purple,2.72727272727
Sooty Albatross,back color is grey,47.2727272727
Sooty Albatross,back color is orange,2.72727272727
Sooty Albatross,back color is black,13.6363636364
Sooty Albatross,back color is white,21.8181818182
Sooty Albatross,back color is buff,19.0909090909
Sooty Albatross,tail shape is forked tail,1.05263157895
Sooty Albatross,tail shape is rounded tail,10.5263157895
Sooty Albatross,tail shape is notched tail,7.36842105263
Sooty Albatross,tail shape is fan-shaped tail,8.42105263158
Sooty Albatross,tail shape is pointed tail,60.0
Sooty Albatross,tail shape is squared tail,12.6315789474
Sooty Albatross,upper tail color is blue,2.22222222222
Sooty Albatross,upper tail color is brown,16.6666666667
Sooty Albatross,upper tail color is grey,56.6666666667
Sooty Albatross,upper tail color is orange,3.33333333333
Sooty Albatross,upper tail color is black,20.0
Sooty Albatross,upper tail color is white,6.66666666667
Sooty Albatross,upper tail color is buff,20.0
Sooty Albatross,head pattern is malar,0.751879699248
Sooty Albatross,head pattern is crested,2.25563909774
Sooty Albatross,head pattern is masked,0.751879699248
Sooty Albatross,head pattern is unique pattern,12.7819548872
Sooty Albatross,head pattern is eyebrow,3.00751879699
Sooty Albatross,head pattern is eyering,36.0902255639
Sooty Albatross,head pattern is plain,39.0977443609
Sooty Albatross,head pattern is eyeline,3.00751879699
Sooty Albatross,head pattern is striped,4.51127819549
Sooty Albatross,head pattern is capped,6.76691729323
Sooty Albatross,breast color is blue,3.07692307692
Sooty Albatross,breast color is brown,21.5384615385
Sooty Albatross,breast color is purple,4.61538461538
Sooty Albatross,breast color is grey,46.9230769231
Sooty Albatross,breast color is orange,2.30769230769
Sooty Albatross,breast color is black,23.0769230769
Sooty Albatross,breast color is white,17.6923076923
Sooty Albatross,breast color is buff,10.7692307692
Sooty Albatross,throat color is blue,1.5037593985
Sooty Albatross,throat color is brown,18.045112782
Sooty Albatross,throat color is purple,4.51127819549
Sooty Albatross,throat color is grey,27.0676691729
Sooty Albatross,throat color is yellow,2.25563909774
Sooty Albatross,throat color is black,45.1127819549
Sooty Albatross,throat color is white,9.77443609023
Sooty Albatross,throat color is buff,9.77443609023
Sooty Albatross,eye color is blue,0.714285714286
Sooty Albatross,eye color is brown,1.42857142857
Sooty Albatross,eye color is grey,6.42857142857
Sooty Albatross,eye color is pink,2.14285714286
Sooty Albatross,eye color is black,78.5714285714
Sooty Albatross,eye color is white,34.2857142857
Sooty Albatross,eye color is buff,1.42857142857
Sooty Albatross,bill length is about the same as head,86.8613138686
Sooty Albatross,bill length is longer than head,8.02919708029
Sooty Albatross,bill length is shorter than head,5.10948905109
Sooty Albatross,forehead color is brown,24.0
Sooty Albatross,forehead color is purple,2.4
Sooty Albatross,forehead color is grey,18.4
Sooty Albatross,forehead color is yellow,2.4
Sooty Albatross,forehead color is black,49.6
Sooty Albatross,forehead color is white,2.4
Sooty Albatross,forehead color is buff,11.2
Sooty Albatross,under tail color is blue,2.53164556962
Sooty Albatross,under tail color is brown,18.9873417722
Sooty Albatross,under tail color is grey,44.3037974684
Sooty Albatross,under tail color is pink,3.79746835443
Sooty Albatross,under tail color is black,39.2405063291
Sooty Albatross,under tail color is white,10.1265822785
Sooty Albatross,under tail color is buff,11.3924050633
Sooty Albatross,nape color is blue,2.94117647059
Sooty Albatross,nape color is brown,16.9117647059
Sooty Albatross,nape color is purple,4.41176470588
Sooty Albatross,nape color is grey,47.7941176471
Sooty Albatross,nape color is orange,2.20588235294
Sooty Albatross,nape color is black,13.9705882353
Sooty Albatross,nape color is white,18.3823529412
Sooty Albatross,nape color is buff,17.6470588235
Sooty Albatross,belly color is blue,2.83018867925
Sooty Albatross,belly color is brown,19.8113207547
Sooty Albatross,belly color is purple,5.66037735849
Sooty Albatross,belly color is grey,33.9622641509
Sooty Albatross,belly color is pink,2.83018867925
Sooty Albatross,belly color is black,25.4716981132
Sooty Albatross,belly color is white,16.0377358491
Sooty Albatross,belly color is buff,11.320754717
Sooty Albatross,wing shape is rounded-wings,8.82352941176
Sooty Albatross,wing shape is pointed-wings,20.5882352941
Sooty Albatross,wing shape is broad-wings,4.90196078431
Sooty Albatross,wing shape is tapered-wings,24.5098039216
Sooty Albatross,wing shape is long-wings,47.0588235294
Sooty Albatross,size is large (16 - 32 in),14.5161290323
Sooty Albatross,size is small (5 - 9 in),19.3548387097
Sooty Albatross,size is very large (32 - 72 in),1.61290322581
Sooty Albatross,size is medium (9 - 16 in),59.6774193548
Sooty Albatross,size is very small (3 - 5 in),4.83870967742
Sooty Albatross,shape is upright-perching water-like,10.9375
Sooty Albatross,shape is long-legged-like,1.5625
Sooty Albatross,shape is duck-like,10.9375
Sooty Albatross,shape is gull-like,38.28125
Sooty Albatross,shape is hummingbird-like,3.125
Sooty Albatross,shape is pigeon-like,10.15625
Sooty Albatross,shape is hawk-like,5.46875
Sooty Albatross,shape is sandpiper-like,2.34375
Sooty Albatross,shape is upland-ground-like,1.5625
Sooty Albatross,shape is swallow-like,15.625
Sooty Albatross,back pattern is solid,69.4444444444
Sooty Albatross,back pattern is spotted,2.77777777778
Sooty Albatross,back pattern is striped,9.25925925926
Sooty Albatross,back pattern is multi-colored,18.5185185185
Sooty Albatross,tail pattern is solid,74.6987951807
Sooty Albatross,tail pattern is spotted,3.61445783133
Sooty Albatross,tail pattern is striped,1.20481927711
Sooty Albatross,tail pattern is multi-colored,20.4819277108
Sooty Albatross,belly pattern is solid,78.2178217822
Sooty Albatross,belly pattern is spotted,2.9702970297
Sooty Albatross,belly pattern is striped,6.93069306931
Sooty Albatross,belly pattern is multi-colored,11.8811881188
Sooty Albatross,primary color is blue,3.35570469799
Sooty Albatross,primary color is brown,25.5033557047
Sooty Albatross,primary color is purple,4.02684563758
Sooty Albatross,primary color is grey,48.322147651
Sooty Albatross,primary color is orange,2.01342281879
Sooty Albatross,primary color is black,30.2013422819
Sooty Albatross,primary color is white,9.39597315436
Sooty Albatross,primary color is buff,18.1208053691
Sooty Albatross,leg color is grey,40.4761904762
Sooty Albatross,leg color is yellow,7.14285714286
Sooty Albatross,leg color is pink,7.14285714286
Sooty Albatross,leg color is black,14.2857142857
Sooty Albatross,leg color is white,14.2857142857
Sooty Albatross,leg color is buff,30.9523809524
Sooty Albatross,bill color is blue,2.68456375839
Sooty Albatross,bill color is brown,6.04026845638
Sooty Albatross,bill color is iridescent,1.34228187919
Sooty Albatross,bill color is purple,2.01342281879
Sooty Albatross,bill color is grey,21.4765100671
Sooty Albatross,bill color is orange,2.01342281879
Sooty Albatross,bill color is black,75.1677852349
Sooty Albatross,bill color is white,8.72483221477
Sooty Albatross,crown color is brown,24.2647058824
Sooty Albatross,crown color is purple,4.41176470588
Sooty Albatross,crown color is grey,34.5588235294
Sooty Albatross,crown color is pink,2.20588235294
Sooty Albatross,crown color is black,38.9705882353
Sooty Albatross,crown color is white,2.94117647059
Sooty Albatross,crown color is buff,16.1764705882
Sooty Albatross,wing pattern is solid,71.0280373832
Sooty Albatross,wing pattern is spotted,0.934579439252
Sooty Albatross,wing pattern is striped,7.47663551402
Sooty Albatross,wing pattern is multi-colored,20.5607476636
Groove billed Ani,bill shape is dagger,1.4598540146
Groove billed Ani,bill shape is hooked,10.2189781022
Groove billed Ani,bill shape is all-purpose,8.75912408759
Groove billed Ani,bill shape is cone,25.5474452555
Groove billed Ani,bill shape is specialized,54.0145985401
Groove billed Ani,wing color is blue,5.83941605839
Groove billed Ani,wing color is brown,8.02919708029
Groove billed Ani,wing color is iridescent,4.3795620438
Groove billed Ani,wing color is grey,4.3795620438
Groove billed Ani,wing color is black,96.3503649635
Groove billed Ani,wing color is white,1.4598540146
Groove billed Ani,wing color is buff,2.9197080292
Groove billed Ani,upperparts color is blue,6.15384615385
Groove billed Ani,upperparts color is brown,6.15384615385
Groove billed Ani,upperparts color is iridescent,7.69230769231
Groove billed Ani,upperparts color is grey,4.61538461538
Groove billed Ani,upperparts color is black,93.0769230769
Groove billed Ani,upperparts color is white,1.53846153846
Groove billed Ani,upperparts color is buff,1.53846153846
Groove billed Ani,underparts color is blue,6.76691729323
Groove billed Ani,underparts color is brown,1.5037593985
Groove billed Ani,underparts color is iridescent,9.02255639098
Groove billed Ani,underparts color is grey,5.26315789474
Groove billed Ani,underparts color is black,92.4812030075
Groove billed Ani,underparts color is white,2.25563909774
Groove billed Ani,breast pattern is solid,85.6
Groove billed Ani,breast pattern is spotted,2.4
Groove billed Ani,breast pattern is striped,2.4
Groove billed Ani,breast pattern is multi-colored,9.6
Groove billed Ani,back color is blue,5.88235294118
Groove billed Ani,back color is brown,6.72268907563
Groove billed Ani,back color is iridescent,7.56302521008
Groove billed Ani,back color is grey,2.52100840336
Groove billed Ani,back color is black,92.4369747899
Groove billed Ani,back color is white,0.840336134454
Groove billed Ani,tail shape is rounded tail,20.5882352941
Groove billed Ani,tail shape is notched tail,37.2549019608
Groove billed Ani,tail shape is fan-shaped tail,13.7254901961
Groove billed Ani,tail shape is pointed tail,23.5294117647
Groove billed Ani,tail shape is squared tail,4.90196078431
Groove billed Ani,upper tail color is blue,7.01754385965
Groove billed Ani,upper tail color is brown,6.14035087719
Groove billed Ani,upper tail color is iridescent,3.50877192982
Groove billed Ani,upper tail color is grey,4.38596491228
Groove billed Ani,upper tail color is black,91.2280701754
Groove billed Ani,upper tail color is white,1.75438596491
Groove billed Ani,head pattern is spotted,2.23880597015
Groove billed Ani,head pattern is crested,8.20895522388
Groove billed Ani,head pattern is eyebrow,14.1791044776
Groove billed Ani,head pattern is eyering,2.98507462687
Groove billed Ani,head pattern is plain,66.4179104478
Groove billed Ani,head pattern is eyeline,8.9552238806
Groove billed Ani,head pattern is striped,2.23880597015
Groove billed Ani,head pattern is capped,1.49253731343
Groove billed Ani,breast color is blue,6.81818181818
Groove billed Ani,breast color is brown,1.51515151515
Groove billed Ani,breast color is iridescent,2.27272727273
Groove billed Ani,breast color is grey,4.54545454545
Groove billed Ani,breast color is black,94.696969697
Groove billed Ani,breast color is white,2.27272727273
Groove billed Ani,throat color is blue,6.12244897959
